Year,"Consumer Price Index with housing costs, CPIH INDEX 00: ALL ITEMS 2015=100, [1]","UKRI stipend, £ [2]","National min / living wage (NMW/NLW, £/hr) [3]","Average annual council tax (England), £ [4]","Real living wage (RLW, £/hr) [5]"
Year,CPIH,Stipend,NMW,Council_tax,RLW
2012,96,13590,6.19,1201,7.45
2013,98.2,13786,6.31,1045,7.65
2014,99.6,13863,6.50,1051,7.85
2015,100,14057,6.70,1078,8.25
2016,101,14296,7.20,1128,8.45
2017,103.6,14553,7.50,1185,8.75
2018,106,14777,7.83,1258,9
2019,107.8,15009,8.21,1327,9.30
2020,108.9,15285,8.72,1385,9.50
2021,111.6,15609,8.91,1428,9.90
2022,120.5,16062,9.50,1493,10.90
2023,124.8,17668,10.42,1493,
